City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
121,kununurra,-15.7667,128.7333,24.99,94,84,0.0,AU,1676227403
122,huarmey,-10.0681,-78.1522,23.72,82,100,3.09,PE,1676227403
123,itarema,-2.9248,-39.9167,29.22,64,99,6.2,BR,1676227403
124,romitan,39.9343,64.3814,1.97,60,0,3.09,UZ,1676227404
125,hirara,24.8,125.2833,22.62,80,88,5.4,JP,1676227404
126,ust-tsilma,65.441,52.1498,-12.24,95,78,2.74,RU,1676227404
127,wajid,3.8093,43.2471,27.48,24,0,5.18,SO,1676227405
128,dergachi,51.2328,48.7659,-6.16,95,100,6.4,RU,1676227405
129,malko tarnovo,41.9833,27.5333,0.13,89,99,5.6,BG,1676227406
130,adrar,20.5022,-10.0711,30.07,9,100,6.19,MR,1676227406
131,torbay,47.6666,-52.7314,-3.73,66,75,7.72,CA,1676227407
132,hobart,-42.8794,147.3294,11.14,75,0,3.6,AU,1676227407
133,fortuna,40.5982,-124.1573,9.99,94,0,0.0,US,1676227408
134,moindou,-21.6924,165.677,23.63,66,91,3.04,NC,1676227408
135,broome,42.2506,-75.833,9.64,37,0,1.79,US,1676227468
136,chibombo,-14.6569,28.0706,18.53,91,100,1.2,ZM,1676227469
137,brazzaville,-4.2658,15.2832,23.65,79,100,0.72,CG,1676227469
138,waspan,14.7419,-83.9717,27.96,63,15,4.33,NI,1676227469
139,takanabe,32.1333,131.5,14.47,95,100,2.88,JP,1676227470
140,yeppoon,-23.1333,150.7333,24.88,88,0,1.36,AU,1676227470
141,yataity,-26.3667,-56.0667,38.43,23,17,2.98,PY,1676227471
142,kaa-khem,51.6833,94.7333,-21.48,93,100,1.11,RU,1676227471
143,lamar,33.6668,-95.5836,16.87,48,0,3.6,US,1676227471
144,aberdeen,57.1437,-2.0981,7.27,82,75,2.57,GB,1676227308
145,upernavik,72.7868,-56.1549,-25.52,93,100,2.76,GL,1676227472
146,provideniya,64.3833,-173.3,-29.06,93,87,3.25,RU,1676227472
147,nelson bay,-32.7167,152.15,23.03,86,94,5.81,AU,1676227329
148,mirnyy,62.5353,113.9611,-19.65,99,100,0.75,RU,1676227473
149,saint-augustin,51.226,-58.6502,-9.18,85,96,3.69,CA,1676227473
150,galesong,-5.3166,119.3661,24.01,85,100,4.37,ID,1676227473
151,mujiayingzi,42.1167,118.7833,-9.51,56,0,2.36,CN,1676227474
152,mount gambier,-37.8333,140.7667,13.77,63,100,2.6,AU,1676227474
153,faya,18.3851,42.4509,16.06,40,0,1.79,SA,1676227475
154,beloha,-25.1667,45.05,24.28,86,99,5.72,MG,1676227475
155,longyearbyen,78.2186,15.6401,-4.09,74,75,8.75,SJ,1676227391
156,nouadhibou,20.931,-17.0347,19.99,77,100,4.63,MR,1676227476
157,port elizabeth,-33.918,25.5701,23.39,88,100,7.2,ZA,1676227476
158,ayagoz,47.9714,80.4392,-23.07,100,100,1.98,KZ,1676227477
